world,drift_shift,treatment_effect,method,n_replicates,reject_rate,reject_rate_mcse,effect_bias,effect_bias_mcse,effect_rmse,control_bias,control_bias_mcse,effect_coverage95,effect_coverage95_mcse,prior_ess,prior_ess_mcse,roc_auc,roc_auc_mcse,sensitivity,specificity,fpr,ppv,fpr_mcse,oracle_spearman,roc_auc_obs
alt,0.0,0.15,pooling,2000,0.6095,0.010908935557605975,-0.011890907422227887,0.0014846816284220937,0.06743699633980137,0.017771336933798194,0.000608432596198046,0.9365,0.005452877680637995,764.341,2.9343729537698353,0.5,0.0,1.0,0.0,1.0,0.7915833333333333,0.0,nan,0.5
alt,0.4,0.15,internal_only,2000,0.225,0.00933742469849155,-0.021118805135776724,0.0023517069708983342,0.1072451619357702,0.0280217666162932,0.0018359807856662119,0.943,0.005184158562389852,0.0,0.0,0.5,0.0,0.0,1.0,0.0,nan,0.0,nan,0.5
alt,0.4,0.15,eb_only,2000,0.6085,0.010913930318634071,0.010484952396665905,0.001474923238346351,0.06677241905330009,-0.003581990916149433,0.0003636171219568435,0.968,0.003935479640399632,0.0,0.0,0.5,0.0,0.0,1.0,0.0,nan,0.0,nan,0.5
alt,0.4,0.15,rule,2000,0.2675,0.009898074307662071,-0.0174795101212925,0.001967186710516784,0.08967335478610146,0.024382471601808973,0.0013274032190128602,0.958,0.00448530935387962,18.94520399473332,0.09337274515005899,0.5809536676286677,0.004084061722212341,0.7559466109909776,0.37104542449711964,0.6289545755028804,0.6035242290748899,0.004694568782751981,0.22399855655680953,0.6699781182359308
alt,0.4,0.15,two_head,2000,0.301,0.010256680749638257,-0.015234824178913947,0.0018588373751343157,0.08449377116549889,0.02213778565943042,0.0011733223460782367,0.961,0.004328914413568374,61.438489080924434,0.3744100980435681,0.5813387611231362,0.004063609418805769,0.7135187532622475,0.4133534800264425,0.5866465199735575,0.6063620809834611,0.004785436683049013,0.23599708883835585,0.6816616184163059
alt,0.4,0.15,two_head_pro,2000,0.297,0.010217411609600545,-0.01664412171646454,0.0018375109238617056,0.08382447811909939,0.023547083196981015,0.0011385035183378782,0.9615,0.004302194207610808,57.35736607542866,0.3287634955691571,0.6068760604557479,0.004148075249053232,0.7226903288345388,0.4262914345075078,0.5737085654924923,0.6147015919325173,0.004805864214709526,0.23670710757496824,0.7037555074555074
alt,0.4,0.15,two_head_pro_sam,2000,0.299,0.010237162692855867,-0.01691712174010302,0.0018971610919789402,0.0864929488779172,0.023820083220619494,0.0012326566023452112,0.957,0.004536022486716751,56.39783477010609,0.3462903981414877,0.6068760604557479,0.004148075249053232,0.7226903288345388,0.4262914345075078,0.5737085654924923,0.6147015919325173,0.004805864214709526,0.23670710757496824,0.7037555074555074
alt,0.4,0.15,two_head_pro_fixdisc,2000,0.274,0.00997306372184596,-0.018738903791728986,0.0019058672782547123,0.08724777561564194,0.025641865272245462,0.0012422070564373736,0.9605,0.004355441998236229,22.91174815995768,0.16011609176642091,0.5864767977392978,0.004176924385944281,0.6660949966445455,0.4801208801586552,0.5198791198413448,0.6187145033938218,0.004855109286436349,0.24682110252801742,0.6843864064754689
alt,0.4,0.15,selective_pro,2000,0.6085,0.010913930318634071,0.010484952396665855,0.001474923238346352,0.06677241905330011,-0.0035819909161493822,0.0003636171219568462,0.968,0.003935479640399632,5.888710331812222e-14,1.6302084768028527e-15,0.5872201554232804,0.004018041921641444,0.7271642681380956,0.4247804325243177,0.5752195674756824,0.6155399861137411,0.00480365272320959,0.25016906409381084,0.6745880674302549
alt,0.4,0.15,selective_pro_sam,2000,0.6085,0.010913930318634071,0.010484952396665857,0.001474923238346352,0.06677241905330011,-0.003581990916149384,0.00036361712195684615,0.968,0.003935479640399632,4.758980695910618e-14,1.4094120861219337e-15,0.5872201554232804,0.004018041921641444,0.7271642681380956,0.4247804325243177,0.5752195674756824,0.6155399861137411,0.00480365272320959,0.25016906409381084,0.6745880674302549
